x,y,z
6001,13464,442039
5090,14635,568920
6263,71315,627106
8536,81491,978262
9695,11894,191790
8727,29754,11145
1517,37184,822106
6724,8140,419344
5383,70011,198567
5756,98551,955244
4877,87844,737268
9117,34707,351652
5987,25158,724359
2669,88485,960510
2538,23141,982884
1131,83180,879094
1802,31902,538863
4202,57730,611364
7510,53233,566474
5581,50993,144500
6374,14831,537116
9807,61074,821996
8119,41054,565851
4137,46105,346688
2309,93974,465578
356,30748,29786
8971,70953,339586
2628,29354,855211
8343,49121,216373
8062,99430,294784
7422,13973,224969
9890,95583,179054
1266,15453,300777
3964,85915,913204
5604,46030,476561
3031,81925,836345
4863,12595,617835
3463,50793,953238
2166,82452,620588
3089,15586,250498
1921,22971,594670
2983,23034,600353
2707,34359,888322
134,96345,358908
4927,21410,47480
7782,87440,521290
6722,45601,119589
7434,33073,89753
3318,11020,766506
7487,82921,65488
7226,75272,445849
4503,62198,613108
9771,7520,210999
1417,14270,334855
285,582,732592
6140,6955,444524
3062,72228,303983
287,2618,1458
1884,67625,58127
4612,61955,8309
9916,80523,443110
6324,78598,880880
2434,72814,685938
8441,39182,454255
7325,29395,498833
5751,67060,118628
2938,41398,904535
2932,29091,771992
8035,41451,158833
61,84034,445700
866,85493,495437
2129,66907,599878
6792,65587,664101
5627,32285,129260
825,15595,964487
8150,81747,453719
708,61999,242255
1603,87273,502462
4062,69143,279650
2247,50893,951825
3119,57108,207826
6774,30474,810328
1493,97956,94196
4953,45165,983997
8170,15656,380208
8082,92080,73395
6077,84773,213087
8846,7610,668689
5343,70343,798246
2009,2360,913188
6073,10228,114419
1439,82735,620733
6832,55088,234766
1701,44446,516478
7976,46338,377230
5126,75540,263760
2024,28314,237609
2479,60472,72206
9013,72345,297311
139,1238,600218
3905,16187,313223
8163,55656,910953
7032,5639,673155
210,33618,241922
7034,13735,220723
4599,11657,453250
1045,63511,274339
8948,90296,381261
3317,45059,910564
386,94600,260066
5406,65086,90006
5759,99348,34179
6637,23933,426580
6062,53610,13135
4697,40027,886849
5939,18544,788893
3269,12154,89140
3699,18402,156975
5021,58057,548382
1428,11160,397470
9243,36354,301408
3,64746,493627
8481,15527,803783
9249,39245,386207
259,75347,803077
6010,19230,660368
9162,43510,147482
3380,28028,412045
7188,69592,746793
5405,37717,357582
2108,44563,532434
8149,40435,126047
2225,50408,60254
2050,93736,780423
4749,53557,359175
6625,21654,603202
7511,34613,56130
4900,87736,475069
7834,44610,311733
7062,64971,42079
9115,34211,713399
8789,28402,586406
5477,64345,12114
6788,51120,951070
1389,46421,467579
2369,15128,553955
6524,18734,237736
4482,31299,419874
8222,54798,722787
17,19703,752276
1832,60496,726708
9761,44354,283076
526,37286,848222
6297,49663,592708
2877,28850,368394
4620,32167,25988
9632,40162,451856
9829,81054,688164
1093,58498,516637
3789,11091,521142
7565,18586,386102
3454,8697,175533
5652,69914,728428
2590,35162,600722
7755,83111,969161
7291,62020,521097
2263,88206,214076
8439,2112,735503
6877,18895,993790
8853,94427,975389
4517,64904,176969
2663,66539,59557
6369,50041,725241
3210,24747,40983
8237,46376,112067
6387,81978,253736
8790,76403,445041
4715,36327,844890
1157,6642,700324
6751,55351,349192
8821,75861,735153
7641,99349,162811
2097,55063,420062
330,33903,319455
7628,40516,564135
178,4500,212721
2906,87092,447358
7424,13806,928056
5926,92017,329164
4886,58322,12491
6415,24224,941237
7862,10106,545560
6009,1283,785323
8624,836,641836
5964,37947,920314
9787,14402,989750
1713,92031,368358
9235,77451,39789
2450,76519,94673
9259,66905,211177
1652,18354,720536
5676,96314,193443
3596,47948,106651
5491,50141,75823
6535,90186,604731
3138,32474,59465
7666,49545,914857
6820,58667,24726
3913,25026,486947
1702,46107,150838
8152,51334,927396
3647,72168,651352
66,77593,184841
4037,8928,56276
3894,32579,966225
4821,13006,469880
6708,33312,63764
9236,19405,249136
5022,45925,630263
7652,50292,587652
7357,66232,304162
6031,82655,13787
8059,82919,702359
5933,42320,864885
3754,75160,598639
397,54900,597178
4900,84640,599449
5112,57478,457726
1146,23218,741063
4012,79628,275403
4245,78959,69190
3774,65558,286145
946,50860,736189
1805,35799,175471
8499,67430,336359
6343,90668,562467
550,9395,910769
7937,3414,248512
7872,58666,758090
5430,5430,766640
2203,50160,157669
4282,24465,675041
2261,63508,442760
1370,38227,148262
1408,56421,130051
6885,94590,648144
2664,58983,312031
2250,45539,997554
8554,47302,359556
7306,3754,327561
5551,81358,91307
643,87205,676039
6974,15320,870540
1636,73449,329347
8336,16442,239820
8539,88503,335983
5766,80535,662725
3730,33221,82223
1605,11821,60441
2712,64646,382313
1655,864,976031
9308,50987,339
6873,14401,444438
9026,91435,994088
4526,42839,354722
4325,40787,38099
3558,18261,70600
5092,84513,83678
4058,42441,407332
8500,25059,332443
1059,59562,106201
107,68903,285715
16,71073,19529
7275,54912,874327
7308,2063,320137
7494,21713,65149
941,95994,807268
5400,6431,562438
905,60393,574046
8224,98761,567498
3671,87564,746796
2508,33812,138188
5975,20197,549865
4768,51139,429962
6200,76780,373024
4135,6334,627669
3656,50070,761793
3002,299,63601
4418,97102,949736
5795,24482,162820
3902,98581,347119
9446,63773,642316
4517,1066,271749
7793,29570,814811
4799,28305,62261
7989,82058,515728
589,69963,208229
3115,34761,736686
8207,81010,58809
3904,4987,626334
3469,53590,185595
9558,66540,585647
5431,91264,867998
2803,7631,302197
8707,43436,387215
5524,98578,376693
1793,40642,178165
3906,26215,491597
9990,29052,782727
6080,3400,839252
9598,84774,830495
1915,34429,517895
1149,57463,214025
9064,87136,932047
5938,59483,130296
4851,403,500285
2759,73269,711612
3856,59518,938891
2965,37771,816804
7299,62671,774017
3362,3422,936641
3872,95187,862794
6817,66490,31116
2890,14842,938701
6602,17755,217617
461,92752,148864
562,35893,847033
8503,85949,165024
9306,41220,792162
8279,93963,974771
1832,85492,811443
8881,79827,980469
4269,89751,269098
5319,4464,905402
4560,56966,25596
8000,18381,40839
8535,68914,861163
4191,52131,660976
8335,49962,460664
5095,11778,973822
2170,44505,185767
1778,53830,180306
6176,82029,821609
8693,33523,223171
7901,78257,131297
5406,4434,745319
3622,41398,499826
2722,60489,503486
6574,77241,544623
8076,6882,695473
8594,51591,635392
2971,73355,673762
6242,50181,393663
6996,92627,693201
3136,13172,363314
865,25585,14350
5033,58558,149810
7482,57153,731331
9001,16747,860153
1422,39029,427120
1864,43892,31725
3282,4744,372989
3670,63870,377108
4777,47045,719429
8347,7344,475802
1509,27124,800955
482,32720,323938
6191,45030,179880
6216,390,729171
3986,242,119056
7245,94952,424270
1710,50054,735842
2627,80150,482473
9676,26256,75355
1232,2094,319173
1694,1873,256845
1839,46335,883591
1023,81107,80904
1080,93110,313540
713,9600,591100
4671,92055,784562
1576,6386,103463
2639,90240,340311
8999,89702,142977
1903,84439,987765
5592,65260,726383
20,83316,698299
5925,64626,414845
4364,57335,621886
1784,82017,86069
4971,85720,306367
3366,86317,280086
4909,91105,672987
5815,33497,465236
8737,90686,284276
5768,36038,764662
1436,2491,75995
518,61118,907531
306,70055,166338
1568,30966,897548
6264,39516,834737
8362,44130,40791
1118,9333,82230
1499,99498,604751
6782,42954,965424
3319,76192,991101
4741,69129,584497
2172,86156,711100
8821,31200,549949
3164,15989,447804
3192,5311,486796
8509,55117,343899
6180,55596,30894
4509,17581,48997
8774,68485,899758
3053,44367,942080
8147,15446,318543
3334,94021,709357
9587,98836,959218
4603,62027,33798
2910,13535,973403
2229,79936,353878
1071,87489,246482
9844,66593,274603
8022,97444,408257
9061,70198,625297
4341,88658,250364
9416,45383,67330
4543,99993,607327
1849,15000,334441
5675,58601,312696
7449,86190,496005
1871,87606,125556
8560,69575,676884
692,40741,77842
737,77147,425821
4287,14193,369181
3899,55215,96215
9583,24432,631266
5183,92027,889448
2031,15892,931775
761,4220,375302
6377,68604,914013
6481,57449,364185
4696,74866,47515
3439,25128,764916
4944,39321,933487
7041,9180,595571
1694,73549,64630
3586,78859,544405
8308,54288,429762
1445,25742,495303
4658,71014,775138
7637,27018,852555
5565,29555,92169
9876,15048,989477
6296,98254,182674
9985,41658,719758
363,8480,224927
8171,32030,168169
1623,57129,920356
3784,86733,927213
2464,91264,794620
3087,44079,644996
3622,95267,84003
6220,49644,732524
6142,95142,792845
7492,27501,113228
3787,12046,585917
4,41652,102619
9320,86717,878575
9929,99211,880565
1077,97917,476038
8953,19535,812963
9541,12420,912327
6876,56775,680008
667,62713,848613
4456,27561,228820
7439,78585,958734
8374,30092,221350
7591,27559,148739
6807,33454,165627
4046,69578,527529
4413,18476,776836
8111,32465,702024
5029,93575,247716
4229,88883,659009
21,30881,923436
9525,52626,356021
9777,42385,849865
3521,94541,553901
9824,18144,825812
1384,38125,265443
3384,38275,831130
548,44779,161320
9995,87517,608665
8342,41006,416005
543,13807,71566
5198,72816,289765
1046,94073,199355
768,58602,854468
2595,15112,73127
8983,42702,786195
9437,49925,515170
9049,1037,282552
6074,88444,580000
9324,96871,503869
1625,49050,937324
8690,17964,429746
8514,11227,204555
9682,54385,996848
7765,63853,139624
9094,78448,693732
1553,26003,786331
7953,29202,74982
761,28325,519849
3064,80599,938135
2522,44762,951830
5470,7622,504978
3652,10536,541410
9691,53377,525253
1774,53552,700807
5040,38978,639563
8505,66760,428633
1063,5788,788522
1792,69757,217907
613,22996,657890
493,14559,848021
1296,32408,289162
1081,63586,955972
578,8437,377829
4132,22870,972869
9824,2366,993935
8261,24600,109361
3585,65304,876709
5026,78561,825506
2334,91665,678476
5049,92310,507270
192,64061,157114
8590,8908,412041
3603,21324,36941
2812,35119,26347
6442,44247,609244
3853,81449,800876
4297,10124,192822
324,50640,868026
6091,45171,737585
1169,87995,946880
8823,15748,361011
9373,56663,405207
4818,60982,432941
565,56382,383313
6995,47680,869927
2032,87563,626915
2053,89907,971867
3012,30724,837596
1813,68012,526110
7988,70868,54963
2648,11855,672581
5564,71647,139410
6345,36327,48246
3194,10591,591294
7065,57119,18783
2968,18588,896180
7503,76759,549654
4058,91992,504498
9701,33405,671256
6316,20904,983199
5211,87151,960565
3728,55951,357480
2206,65657,645982
7922,8036,5298
8558,24016,417524
5307,29272,942576
8195,47823,670261
7603,48576,354518
1766,51394,805399
8372,4878,748794
1698,25453,96105
6154,62000,24057
6129,63399,614236
5008,64674,86396
461,64101,19304
1793,30365,892544
8019,35469,410474
7899,39086,233710
9510,56422,724472
4860,35650,459450
7727,58645,606648
2764,41748,351359
9841,74324,366980
8964,21557,714730
9514,14947,484620
9427,63044,796258
3678,25725,47588
7461,63310,110566
4005,20996,273504
8424,40447,887368
6139,3340,369526
7993,30554,492564
2432,88559,230003
262,96846,326192
2342,37550,456822
7450,5733,919960
5400,22732,250534
3118,63846,763391
9920,37246,219580
4629,8408,887124
1180,50887,122795
5967,48753,110822
5186,76303,193061
2517,30161,492070
734,4864,839210
2388,52254,222188
4983,43851,350520
2501,18702,210344
9167,84044,873572
7668,70072,694717
1360,73096,391628
5169,12440,719819
1169,41620,198531
2252,67662,425025
2073,64604,940506
8267,42968,776188
5013,3301,840764
1281,76112,788297
3730,23432,206708
6962,89063,820867
3149,94176,823464
5211,72390,82020
552,62653,615622
1646,66867,392773
8600,20949,779123
7822,48412,316022
8556,22867,610383
3920,84939,469568
7219,56625,946556
3043,25271,782060
3631,27646,698481
7519,15063,435092
7147,38175,949132
7274,51528,984780
7472,79917,886774
9663,9651,414989
9400,48026,157432
802,89624,308858
4820,33686,84275
9654,64210,147577
1563,67412,367763
1868,29141,828633
3596,19,88909
1256,23673,179644
1324,10687,894550
1505,21465,62743
6962,23688,833948
1287,71140,469159
6759,35363,387076
8864,69002,185052
2211,5931,93968
2854,1315,823858
3963,94373,403116
5440,58034,323855
4818,53524,642111
1973,78124,421941
4166,86157,46620
3929,2113,553740
1848,40780,218192
9766,94924,791106
7460,79555,513379
5143,67630,97287
1671,79033,993290
1045,43753,656850
9286,6540,723916
4144,56021,657539
7568,48090,773651
8654,80194,198353
7326,59316,973211
4732,48279,854627
8932,36640,480597
844,16514,676519
315,34283,126870
568,73396,941556
8949,4751,642927
4817,5682,596872
2518,61737,325372
2212,43666,297179
9291,71552,980685
2879,100,312007
3791,36703,767838
8653,78488,786205
8869,16538,520497
3750,52070,122369
8071,18844,268027
3641,33125,533466
8303,49886,333887
790,37502,535625
5517,47763,982735
9633,17108,927851
4025,39035,988210
2753,7605,361258
7187,18655,15854
188,17771,284476
5827,45723,247716
2905,12904,242057
5555,25096,201036
9726,68470,684150
5140,32946,454295
6604,85150,427063
7294,73856,151454
8327,17693,722110
7360,3133,434952
959,80458,39673
5825,90236,901080
4499,14741,348203
4567,77536,662952
528,71575,546822
1170,37006,749601
1650,42018,631210
3744,88597,436434
9798,42267,708349
3413,7416,262495
5728,13850,857616
2397,26857,208389
4184,69703,833497
3093,41035,506260
2842,28665,181226
4320,73208,898643
7312,31450,145856
3409,78679,25032
4929,39913,380902
7734,16681,650075
9066,71423,702993
859,61269,895761
9258,30239,858280
9123,16304,507193
9128,52439,372681
2271,50728,741825
1621,45524,641140
5806,8570,94590
6306,58280,862517
9528,86443,320180
277,34481,741324
1465,58781,229293
2241,80636,59654
9236,29787,750286
491,7822,907470
2434,13896,333940
8626,64146,211621
5812,81131,251522
1997,36110,120773
1509,9893,772734
920,65098,624442
4801,76322,840878
3291,4623,376747
332,74847,581519
2595,11623,799396
5607,4586,977062
5760,91639,573902
3835,15732,770160
4572,3338,633463
4411,60937,287293
6193,53882,304600
6238,40053,132441
2584,95247,511862
9954,49410,974546
7354,73017,742955
2704,40040,371444
8452,99434,472025
7383,25235,781336
1644,47295,865043
88,22802,355753
3747,57600,272908
9746,25212,857704
114,70969,798464
9696,15316,335393
2308,70175,435238
2699,68401,96277
2695,72168,258617
9063,94406,742774
7656,22141,545020
1720,70162,367168
8183,72482,779897
7658,75392,764318
4634,59474,444338
5138,54591,953890
4451,25899,633807
1925,16928,986238
907,82204,332438
3858,59000,39776
7550,23246,391771
7406,34852,295172
1106,21696,530487
9512,11366,146984
7490,40881,539107
2179,19412,606713
3907,27433,802364
3087,69963,312434
8007,44667,140641
9456,11920,580479
4279,54686,164030
8757,53843,101600
5373,88021,299252
2025,45236,831890
9358,48756,605743
3617,38265,767475
8146,53981,255239
5038,97704,138628
880,98473,602878
7891,47589,168234
2443,11452,745938
1203,34978,128326
8238,17974,858481
5707,32960,973865
2598,52935,762280
5814,99956,692203
1156,49400,695493
840,23505,806736
4576,99487,92752
4734,38269,189849
9561,69616,944540
2069,70863,527283
9246,74798,328427
854,60012,766642
8631,67047,217250
9581,50803,899464
73,61723,435524
5782,96530,74080
8858,10466,348152
9378,2184,922863
1734,26610,501625
8933,90175,105936
2276,42933,603643
6091,15608,122070
5997,22737,975993
3201,74267,391452
5583,83772,627664
9797,29367,29139
9031,48025,256022
6,83360,570252
8811,97018,492703
7486,48279,295726
3762,86183,614452
4234,68838,734584
9238,67212,56605
406,80368,181864
7958,74945,334696
4239,90592,875108
2395,51150,165951
3994,43121,893612
1126,9608,377317
1771,35716,613441
1022,58155,49220
7511,16319,228835
5681,82956,86271
1266,20854,567200
3487,2100,219050
7401,33799,863900
4252,9408,552535
1080,45074,746389
1539,25420,968833
4208,31411,783786
8448,48190,21634
6578,30983,902892
9761,53203,313924
1384,9345,339821
640,75249,627914
4428,41140,757637
5776,88389,307740
1424,2988,452356
6961,84615,627585
9576,44286,82407
8666,61599,946826
8,94119,995975
3166,82136,395049
8548,12187,593317
1731,90252,127788
3816,63661,72173
9045,80379,455293
3612,30381,37132
3775,96401,260772
7322,91708,751244
1780,25666,609379
7284,23295,220290
4521,40485,689183
2016,26483,912843
3229,20413,468326
5632,79045,440989
6916,18418,555573
2923,25418,368815
8414,68186,834269
3227,18381,45563
7174,94682,896496
43,22056,681217
9469,79708,254286
850,23868,917129
2837,23162,26250
6855,99295,289394
134,71050,371373
4477,28337,209102
9679,6092,252093
9915,69569,22888
2697,38507,882165
9707,67663,138676
6091,48828,270088
1815,41496,932657
1543,44162,399856
9939,32757,861164
4654,79341,119774
9358,81921,174460
376,50881,715824
9762,72136,644049
206,85385,492750
7111,21571,454603
5725,47192,734078
5990,76075,64203
8817,14251,264224
8819,62351,684854
2285,4033,719785
875,17736,883796
2179,26562,12062
6592,61908,750379
2856,71087,32470
7215,34414,84715
9612,87255,725798
1765,69014,646607
8312,70116,423910
8648,97831,619348
2100,16972,484832
6451,53506,693055
1668,857,874811
3286,57612,55415
5269,26307,395507
569,50916,777395
1027,7199,342977
3109,5150,913621
1221,84822,124567
1558,7959,208545
7802,40720,823184
3465,16659,8331
1039,91098,411044
2124,11921,450418
3402,77495,470335
8460,78075,347676
8147,8230,636821
6490,10623,206172
7517,75797,586407
7681,95157,533530
6780,50642,893498
3178,88679,982814
7521,7313,746853
6403,25084,348544
2794,32994,215118
3602,6443,690143
9665,72328,147718
3357,70159,211574
9240,12199,774457
3940,81712,147047
3999,76418,986459
9088,31290,799087
5624,71757,216904
3483,45740,613687
7110,59066,640199
2643,10832,671201
1761,841,351138
1647,55984,740201
5795,43771,716293
5089,2784,620907
1562,99062,191417
8073,99104,854287
1446,94097,85971
9945,2276,238443
9731,17235,872253
7074,57046,796399
898,39646,365377
7159,21163,27059
3616,28927,439517
1324,24038,690285
6926,75342,278680
6775,97976,501675
7005,27924,886963
3449,85783,162880
7057,67697,141520
5343,8400,701322
2499,21890,268421
456,78675,116162
4532,66021,409239
8736,4760,781180
305,40568,141307
9510,75310,869998
9713,34849,29785
2762,26325,623079
7520,58770,873037
7049,54816,606155
6733,10791,945214
3866,65994,86800
9267,70215,199097
6484,13634,736468
2256,50672,497650
9645,92518,321111
8722,26263,368295
9506,93105,49866
7664,2473,515391
4125,44745,970619
3204,50104,933331
9601,92823,132821
1248,44612,470852
1410,90857,937823
9361,43284,152130
2275,82363,221880
910,36440,993069
6058,16762,458539
908,21330,194105
8232,46408,590657
8625,33375,433008
7531,69417,941428
3621,1072,23696
2353,18233,240411
7375,54526,879190
1866,14847,849489
934,95406,272733
6069,66175,7584
7571,54416,425909
4092,54113,65523
918,8032,738355
7594,63445,578902
222,87476,470175
9608,71231,112615
4145,73909,873635
520,93216,991367
1153,91856,798703
8103,86953,133084
2413,4851,775784
7442,14004,704691
6640,37868,722553
1732,94856,62725
4383,63171,713181
3078,27828,947056
5191,28784,67821
199,54812,691549
6597,45121,827636
4028,4154,288769
4594,4370,761427
1103,14380,284325
1665,88654,300483
5582,82001,565539
4294,9838,304809
9394,20507,133530
8243,65766,809114
4863,47196,454894
6548,26057,339976
2344,31736,719011
5189,2644,486571
4660,72359,389026
6637,27267,310862
1416,20437,161255
306,55392,95793
4110,6890,209053
2691,21355,494248
810,33459,153321
8181,75064,300051
8805,75757,301403
4563,65288,189851
6591,83154,247798
8613,86239,379997
4059,27433,462661
8610,66347,645522
3268,99403,685311
5597,25514,988587
7204,16997,59233
1658,49816,753988
6826,2565,311483
8298,14079,143181
1447,49828,548113
8283,33927,602409
2202,19848,879944
4463,82000,762093
9884,7094,52777
892,72815,220014
1329,64826,733772
6357,63404,169891
1587,94506,995201
9602,42317,348460
1758,99706,593491
2981,5801,22395
4705,74673,973713
8205,98599,182236
6702,51026,132398
56,40528,940783
4065,95328,67958
7644,44970,697952
2086,67219,188997
2843,38737,887945
1780,60091,396888
1814,9144,683225
7192,6563,919229
7975,60330,534583
2379,66296,409718
8825,34098,588212
9686,10173,73959
4739,19078,801072
1678,46081,424795
7066,31715,503449
3459,65292,347248
4333,6833,81541
3873,91190,221428
4037,19823,729826
8705,42580,844517
657,6170,768547
4136,77857,567011
4212,61000,329600
7216,66455,294306
1920,29009,210453
8663,23061,195378
135,2323,193608
9483,35688,137805
4022,68457,840092
7342,75669,416538
9278,59715,108483
1319,7450,303943
5809,60166,947941
2568,70069,343167
963,53459,519038
8776,65085,267254
3126,45618,767007
2750,36139,455677
8563,31357,635866
9536,58321,627372
4325,96200,123435
4823,74631,938347
5329,67704,619419
4132,49018,720017
1400,18227,704312
5535,86824,899455
1418,9932,914151
9668,66219,371839
7387,64731,405587
6045,7244,223563
5003,4596,522718
5174,55817,882562
8951,15159,119662
3771,62367,452849
8100,43945,79989
3085,84553,637644
558,20523,266680
5136,17059,881688
3471,76197,241871
2716,41283,892249
6878,71758,895559
9070,56971,416528
4807,1206,968831
877,12152,208292
853,39071,931917
1704,56473,21130
7430,87138,459970
4320,94152,607217
6474,23459,778954
914,27519,264106
7779,76391,225516
5701,33455,917721
5436,67154,319102
4127,87203,287131
1258,42684,376177
3264,29161,917371
6014,18565,164999
2128,76960,255738
4072,2044,180813
900,27458,629633
989,19663,395409
7219,26309,559012
8568,59552,491230
3160,51860,18412
9274,79337,936580
3946,61022,378939
5367,94177,447333
9406,73091,355811
9702,7405,157588
4368,22348,22671
6266,40172,846069
8378,30950,944238
8513,95628,320456
743,92719,201337
1957,60855,331953
2264,93185,557470
7388,9517,82030
1419,41567,21651
6262,19495,85503
8365,32173,543545
9157,83713,234498
5728,5523,856322
514,88493,198988
3282,34933,830997
5748,27226,722957
9748,43511,930973
1506,25524,432881
4461,83408,269204
8891,58221,107104
2046,98493,995099
7552,74225,210249
1739,46856,624943
1960,51235,175279
5036,53477,799881
3694,63796,847050
9705,92451,473980
629,61003,294851
7331,11585,836384
4173,68914,796997
5582,80444,569856
9686,64970,623016
6843,83489,532922
4414,35495,595388
2501,68882,591318
4746,77746,831496
111,74018,152778
2589,86724,307160
6871,44137,265050
4249,13308,316189
8300,55090,357432
8387,61533,643820
2919,49555,630862
6624,36107,728940
7039,32351,797374
4077,20814,996555
683,29338,243325
5665,13931,213096
330,75128,201070
8029,52393,247927
5328,21667,691371
7188,18382,881974
2686,30865,1735
8151,14372,313171
7335,50187,167867
1726,42673,28750
3556,72484,498559
9499,78826,882672
4613,17750,55178
8715,56474,68066
3468,69465,883499
8445,63919,337092
3776,7480,459876
3127,52303,869462
4988,7235,321119
4328,60155,731968
6325,25458,548227
7812,71192,573394
6063,6799,645712
3088,19768,93699
5710,60448,236477
9878,29465,40732
9205,10087,968126
1709,40748,768257
6924,99291,938318
1270,94019,671033
6001,84306,70487
7672,9266,166010
6593,64903,576389
8229,48829,417514
3841,51966,456890
9055,2566,711504
5190,13468,883305
9244,66480,292492
9279,72473,936968
5866,89640,187813
407,89739,270988
7936,52555,926728
5538,62831,265467
2185,78040,939195
7584,67251,654799
4162,93698,830644
6654,19862,288567
2194,99600,225554
3780,67139,364921
3769,75360,414704
1609,23660,72890
6991,81713,624364
4987,11772,263275
6545,75332,129691
8716,70771,249677
3033,57489,268087
4292,10123,887914
2571,17047,670970
6637,85509,289864
5161,7181,43701
488,74374,850499
7677,3801,26763
4373,45840,14928
9469,15258,211978
8555,89273,198521
7590,80838,907823
6365,18475,464796
695,87914,470278
4940,4059,326452
1649,29254,34038
7083,81719,664670
113,8699,686810
6241,22312,498288
1424,1672,616537
8615,57798,238951
1932,23348,609833
3272,80226,1005
8926,49190,712854
3411,26318,279425
5545,50126,537875
714,51871,875935
1118,18602,421093
3700,65756,736502
3055,4570,59700
614,87482,615566
7744,15191,330775
1620,59065,319930
7939,10488,512124
7696,79106,67416
4103,18197,519483
1624,97712,503595
2541,33674,931160
9438,12527,574065
7310,91384,177808
8364,27117,143730
2608,58589,488978
1553,41859,77760
582,44338,617027
630,66897,34808
8219,28863,744393
1700,30400,956553
5701,5145,596567
5044,83386,219807
3665,42161,7704
887,21635,950067
2253,38676,759633
5423,94105,134305
1042,58240,809492
5025,17124,20855
7286,24513,186877
2050,39359,398882
4126,91868,595990
9127,47093,549226
1337,23250,718969
6901,30991,448022
8730,42994,855109
1705,12847,508413
4617,36761,805042
5170,72233,441234
7324,35694,497953
623,74631,441500
563,36959,406135
2409,21380,372201
7161,11956,353822
6668,15745,953139
5133,51924,519411
8569,21629,637113
2380,91586,218132
3291,4292,556951
4096,55626,808303
6079,72630,430949
2915,11482,663963
5842,78819,154799
142,19648,5686
3017,94565,529840
6360,38524,564922
4670,48069,971341
1046,50686,932193
3486,28116,935452
3861,38641,185451
4072,80917,857362
8839,86290,369759
3579,51720,837341
5744,40354,641542
8837,38463,965723
1161,45927,429773
3767,30136,244446
5828,17957,700548
63,20198,868236
6640,55610,984935
2073,44556,364184
4704,37957,250628
4453,90911,232168
4080,92091,170312
5616,4967,528409
6589,35616,583396
9165,4620,714738
7876,6394,882811
7556,96492,876225
7219,66382,808669
6244,60036,669184
3687,66675,219164
4264,64775,308923
3276,94888,188479
924,5824,492541
5071,97394,672058
9794,13992,780101
7561,26202,343876
7144,67659,777461
191,14032,701942
7076,26082,317610
7491,68118,518390
1708,27947,902490
